ReNummer;SummeNetto;MwStSatz;ZahlungsbetragBrutto;KdNr;Summenebenkosten;ReDatum;Zahlungsdatum
103601;11786.70;0;0.00;78911;0.00;2025-04-04 00:00:00.000;NULL
103600;379.00;7;0.00;79666;0.00;2025-04-03 00:00:00.000;NULL
103599;160.00;7;0.00;30145;0.00;2025-04-04 00:00:00.000;NULL
103598;225.00;7;0.00;10383;0.00;2025-04-01 00:00:00.000;NULL
103597;1260.00;7;0.00;20213;0.00;2025-04-03 00:00:00.000;NULL
103596;3378.00;7;0.00;12220;0.00;2025-04-03 00:00:00.000;NULL
103595;58.00;7;62.06;10509;0.00;2025-03-24 00:00:00.000;2025-03-27 00:00:00.000
103594;1099.00;7;1175.93;79666;0.00;2025-04-02 00:00:00.000;2025-04-02 00:00:00.000
103593;9.00;7;9.63;10231;0.00;2025-04-02 00:00:00.000;2025-04-02 00:00:00.000
103592;120.00;7;0.00;10375;0.00;2025-03-31 00:00:00.000;NULL
103591;300.00;7;0.00;12572;0.00;2025-04-03 00:00:00.000;NULL
103590;2000.00;7;0.00;73287;0.00;2025-04-03 00:00:00.000;NULL
103589;2000.00;7;0.00;12407;0.00;2025-04-03 00:00:00.000;NULL
103588;750.00;7;0.00;20996;0.00;2025-04-03 00:00:00.000;NULL
103587;750.00;7;0.00;10256;0.00;2025-04-03 00:00:00.000;NULL
103586;400.00;7;0.00;12020;0.00;2025-04-03 00:00:00.000;NULL
103585;1900.00;7;0.00;20213;0.00;2025-04-03 00:00:00.000;NULL
103584;128.00;7;0.00;81411;0.00;2025-04-03 00:00:00.000;NULL
103583;2000.00;7;0.00;10838;0.00;2025-04-03 00:00:00.000;NULL
103582;350.00;7;0.00;10383;NULL;2025-04-03 00:00:00.000;NULL
103581;2950.00;7;0.00;20038;0.00;2025-04-03 00:00:00.000;NULL
103580;11000.00;7;0.00;20608;NULL;2025-04-03 00:00:00.000;NULL
103579;324.00;7;0.00;20288;0.00;2025-04-03 00:00:00.000;NULL
103578;200.00;0;0.00;73250;0.00;2025-04-03 00:00:00.000;NULL
103577;2200.00;0;0.00;30137;0.00;2025-04-03 00:00:00.000;NULL
103576;152.00;0;0.00;79834;0.00;2025-04-03 00:00:00.000;NULL
103575;400.00;0;0.00;79834;0.00;2025-04-03 00:00:00.000;NULL
103574;1325.00;7;0.00;10905;0.00;2025-04-03 00:00:00.000;NULL
103573;200.00;7;0.00;20020;0.00;2025-04-03 00:00:00.000;NULL
103572;3500.00;7;0.00;20020;0.00;2025-04-03 00:00:00.000;NULL
103571;297.50;0;0.00;80518;0.00;2025-04-03 00:00:00.000;NULL
103570;1225.00;0;0.00;79796;0.00;2025-04-03 00:00:00.000;NULL
103569;250.00;0;0.00;80409;0.00;2025-04-03 00:00:00.000;NULL
103568;800.00;0;0.00;79998;0.00;2025-04-03 00:00:00.000;NULL
103567;298.46;0;0.00;79699;0.00;2025-04-03 00:00:00.000;NULL
103566;625.00;0;0.00;79026;0.00;2025-04-03 00:00:00.000;NULL
103565;420.00;0;0.00;80843;0.00;2025-04-03 00:00:00.000;NULL
103564;1671.39;0;0.00;80876;0.00;2025-04-03 00:00:00.000;NULL
103563;333.33;0;0.00;80875;0.00;2025-04-03 00:00:00.000;NULL
103562;750.00;7;0.00;79536;0.00;2025-04-03 00:00:00.000;NULL
103561;310.00;7;0.00;20524;0.00;2025-04-02 00:00:00.000;NULL
103560;6217.33;0;0.00;78911;0.00;2025-04-02 00:00:00.000;NULL
103559;1554.33;0;0.00;77513;0.00;2025-04-02 00:00:00.000;NULL
103558;45.00;7;0.00;12441;0.00;2025-04-02 00:00:00.000;NULL
103557;1000.00;0;0.00;80837;0.00;2025-04-02 00:00:00.000;NULL
103556;1020.00;0;0.00;80598;0.00;2025-04-02 00:00:00.000;NULL
103555;1694.00;0;0.00;80598;0.00;2025-04-02 00:00:00.000;NULL
103554;2917.00;0;0.00;79222;0.00;2025-04-02 00:00:00.000;NULL
103553;167.00;0;0.00;80522;0.00;2025-04-02 00:00:00.000;NULL
103552;200.00;0;0.00;79720;0.00;2025-04-02 00:00:00.000;NULL
103551;67.50;0;0.00;73913;0.00;2025-04-02 00:00:00.000;NULL
103550;1602.63;0;0.00;75564;0.00;2025-04-02 00:00:00.000;NULL
103549;2156.60;0;0.00;80182;0.00;2025-04-02 00:00:00.000;NULL
103548;275.00;7;0.00;79652;0.00;2025-04-02 00:00:00.000;NULL
103547;1365.28;0;0.00;20691;0.00;2025-03-31 00:00:00.000;NULL
103546;40.00;0;0.00;20375;0.00;2025-04-02 00:00:00.000;NULL
103545;72.00;7;0.00;10207;0.00;2025-04-02 00:00:00.000;NULL
103544;270.00;0;0.00;78814;0.00;2025-04-02 00:00:00.000;NULL
103543;118.00;0;0.00;81408;0.00;2025-04-02 00:00:00.000;NULL
103542;66.60;7;0.00;79994;0.00;2025-04-01 00:00:00.000;NULL
103541;117.00;7;0.00;20843;0.00;2025-04-02 00:00:00.000;NULL
103540;1006.73;0;0.00;80028;0.00;2025-04-01 00:00:00.000;NULL
103539;207.00;7;0.00;79475;0.00;2025-04-01 00:00:00.000;NULL
103538;1793.44;0;0.00;81047;0.00;2025-04-01 00:00:00.000;NULL
103537;2000.00;7;0.00;11190;0.00;2025-04-01 00:00:00.000;NULL
103536;400.00;7;0.00;80343;0.00;2025-04-01 00:00:00.000;NULL
103535;642.00;0;0.00;80201;0.00;2025-04-01 00:00:00.000;NULL
103534;4322.00;0;0.00;78536;0.00;2025-04-01 00:00:00.000;NULL
103533;1333.33;0;0.00;78695;0.00;2025-04-01 00:00:00.000;NULL
103532;218.00;7;0.00;10207;0.00;2025-04-01 00:00:00.000;NULL
103531;350.00;0;0.00;79199;0.00;2025-04-01 00:00:00.000;NULL
103530;292.00;0;0.00;79631;0.00;2025-04-01 00:00:00.000;NULL
103529;1166.67;0;0.00;79791;0.00;2025-04-01 00:00:00.000;NULL
103528;3685.00;7;0.00;72880;0.00;2025-04-01 00:00:00.000;NULL
103527;1062.73;0;0.00;79497;0.00;2025-04-01 00:00:00.000;NULL
103526;225.00;0;0.00;79150;0.00;2025-04-01 00:00:00.000;NULL
103525;240.00;0;240.00;79046;0.00;2025-04-01 00:00:00.000;2025-04-01 00:00:00.000
103524;2000.00;0;0.00;20223;0.00;2025-04-01 00:00:00.000;NULL
103523;1200.00;0;0.00;79984;0.00;2025-04-01 00:00:00.000;NULL
103522;478.05;0;0.00;79945;0.00;2025-04-01 00:00:00.000;NULL
103521;7982.42;0;0.00;79705;0.00;2025-04-01 00:00:00.000;NULL
103520;554.08;0;0.00;81062;0.00;2025-04-01 00:00:00.000;NULL
103519;60.00;0;0.00;11569;0.00;2025-03-31 00:00:00.000;NULL
103518;240.00;7;0.00;73637;0.00;2025-03-31 00:00:00.000;NULL
103517;49.00;0;0.00;79133;0.00;2025-03-31 00:00:00.000;NULL
103516;143.49;0;0.00;79945;0.00;2025-03-31 00:00:00.000;NULL
103515;58.00;7;62.06;10270;0.00;2025-03-27 00:00:00.000;2025-04-02 00:00:00.000
103514;103.80;0;0.00;80820;0.00;2025-03-30 00:00:00.000;NULL
103513;1000.00;7;1070.00;79843;0.00;2025-03-30 00:00:00.000;2025-04-01 00:00:00.000
103512;5000.00;0;0.00;81342;0.00;2025-04-01 00:00:00.000;NULL
103511;630.00;7;0.00;10102;0.00;2025-03-28 00:00:00.000;NULL
103510;880.00;0;0.00;80988;0.00;2025-03-28 00:00:00.000;NULL
103509;150.00;7;160.50;81402;0.00;2025-03-28 00:00:00.000;2025-03-31 00:00:00.000
103508;11034.90;0;10960.82;78962;74.08;2025-03-28 00:00:00.000;2025-04-02 00:00:00.000
103507;208.64;0;0.00;79705;0.00;2025-03-28 00:00:00.000;NULL
103506;2016.88;0;0.00;79705;0.00;2025-03-28 00:00:00.000;NULL
103505;13214.00;0;0.00;79705;0.00;2025-03-28 00:00:00.000;NULL
103504;600.00;7;642.00;78277;0.00;2025-03-28 00:00:00.000;2025-04-02 00:00:00.000
103503;2260.00;7;2418.20;78277;0.00;2025-03-28 00:00:00.000;2025-04-02 00:00:00.000
103502;420.00;0;0.00;79951;0.00;2025-03-27 00:00:00.000;NULL
103501;522.00;7;0.00;72875;0.00;2025-03-27 00:00:00.000;NULL
103500;564.00;7;603.48;78107;0.00;2025-01-31 00:00:00.000;2025-01-31 00:00:00.000
103499;400.00;0;0.00;81226;0.00;2025-04-01 00:00:00.000;NULL
103498;0.00;0;0.00;81227;0.00;2025-04-01 00:00:00.000;NULL
103497;130.00;0;0.00;80275;0.00;2025-04-01 00:00:00.000;NULL
103496;3500.00;0;0.00;81314;0.00;2025-04-01 00:00:00.000;NULL
103495;600.00;0;600.00;81312;0.00;2025-04-01 00:00:00.000;2025-03-28 00:00:00.000
103494;350.00;7;374.50;79682;0.00;2025-04-01 00:00:00.000;2025-04-01 00:00:00.000
